"tranchee_ouverte","Tranchée ouverte","pose en fouille ouverte"
"fusee","Fusée pneumatique","marteau pneumatique frappe à l'intérieur d'un cylindre creux et le fait avancer,"
"tunnelier","Tunnelier (micro)","abattage du terrain est réalisé en tête, par un microtunnelier derrière lequel sont assemblé les tubes qui constituent le tunnel"
"forage_dirige","Fonçage-Forage dirigé","train de tubes creux est enfoncé dans le sol à l'aide d'un marteau pneumatique (ou de vérins)"
"pousse_tube","Direct pipe (pousse-tube)","tube acier est poussé dans lequel une tarière assure l'excavation et une vis sans fin l'évacuation des délais"
"eclatement","Éclatement","éclateur est soit tiré soit poussé et peut être précédé d'un outil de coupe adapté pour certains matériaux"
"extraction","Tirage (Extraction)","extraction par traction consiste à introduire un câble dans la conduite jusqu'à une tête de tirage sur laquelle est arrimée la nouvelle conduite"
"decoupe","Tirage (Découpe)","Un outil de coupe est tiré par un câble dans l'ancien branchement et est suivi de la nouvelle canalisation"
"tubage_continu","Tubage continu","Introduction d'une nouvelle conduite sans joint dans l'ancienne qui sert de fourreau"
"tubage_court","Tubage court","Tubage réalisé à l'aide de tuyaux courts assemblés un à un pendant l'insertion"
"enroulement_helicoidal","Enroulement hélicoïdal","Tubage avec une bande profilée enroulée en spirale pour former un tuyau continu après installation."
"chemisage_continu","Chemisage continu","Tubage réalisé avec une chemise souple imprégnée d'une résine thermodurcissable produisant un tuyau après polymérisation de la résine."
"chemisage_partiel","Chemisage partiel","Tubage réalisé avec une chemise souple imprégnée d'une résine thermodurcissable produisant un tuyau après polymérisation de la résine."
"injection_resine","Injection Résine","Colmatage d'une fuite au niveau d'une fissure, d'un assemblage ou d'un branchement par injection de résine ou de coulis, avec ou sans l'aide d'un manchon."
"injection_coulis","Injection Coulis","Tubage obtenu par injection de coulis de ciment structurant dans l'espace annulaire d'un coffrage plastique interne définitivement ancré au coulis."
"reparation_directe","Réparation directe","Application manuelle par un humain d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"reparation_robot","Réparation par robot (fraisage-talochage)","Application manuelle ou mécanique (à l'aide d'un robot, par exemple) d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"revetement_projete","Revêtement projeté","Application manuelle ou mécanique (à l'aide d'un robot, par exemple) d'un matériau hydraulique ou polymère, avec ou sans renfort, directement sur le surface interne du collecteur d'accueil et/ou d'un regard de visite"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
