"puits","puits infiltation","excavation profonde remplie de materiau favorisant des eaux par le sol"
"bassin","bassin","permet le stockage des eaux"
"fosse","fossé","cavité creusée pour favoriser l'écoulement des eaux"
"noue","Noue","fossé peu profond et végétalisé"
"tranchee","tranchée infiltration","excavation longiligne peu profonde remplie de materiau favorisant des eaux par le sol"
"bande","Bande végétalisée","espace végétalisé"
"toiture",'toiture végétalisée","système de toiture recouvert d'un ecosysteme végétal"
"chaussee","Chaussée perméable","revêtement routier conçu pour permettre l’infiltration naturelle des eaux pluviales"
"jardin","Jardin de pluie","aménagement paysager qui utilise les eaux de ruissellement pour constituer un point d’eau ou une zone humide"
"etang","étang","étendue d'eau stagnante à niveau relativement constant"
"zone_humide_artif","Zone humide Artificielle","écosystème créé par l’homme, qui présente des caractéristiques similaires à celles des zones humides naturelles"
